frame,timestamp,pose_detected,landmark_0_x,landmark_0_y,landmark_0_z,landmark_0_visibility,landmark_1_x,landmark_1_y,landmark_1_z,landmark_1_visibility,landmark_2_x,landmark_2_y,landmark_2_z,landmark_2_visibility,landmark_3_x,landmark_3_y,landmark_3_z,landmark_3_visibility,landmark_4_x,landmark_4_y,landmark_4_z,landmark_4_visibility,landmark_5_x,landmark_5_y,landmark_5_z,landmark_5_visibility,landmark_6_x,landmark_6_y,landmark_6_z,landmark_6_visibility,landmark_7_x,landmark_7_y,landmark_7_z,landmark_7_visibility,landmark_8_x,landmark_8_y,landmark_8_z,landmark_8_visibility,landmark_9_x,landmark_9_y,landmark_9_z,landmark_9_visibility,landmark_10_x,landmark_10_y,landmark_10_z,landmark_10_visibility,landmark_11_x,landmark_11_y,landmark_11_z,landmark_11_visibility,landmark_12_x,landmark_12_y,landmark_12_z,landmark_12_visibility,landmark_13_x,landmark_13_y,landmark_13_z,landmark_13_visibility,landmark_14_x,landmark_14_y,landmark_14_z,landmark_14_visibility,landmark_15_x,landmark_15_y,landmark_15_z,landmark_15_visibility,landmark_16_x,landmark_16_y,landmark_16_z,landmark_16_visibility,landmark_17_x,landmark_17_y,landmark_17_z,landmark_17_visibility,landmark_18_x,landmark_18_y,landmark_18_z,landmark_18_visibility,landmark_19_x,landmark_19_y,landmark_19_z,landmark_19_visibility,landmark_20_x,landmark_20_y,landmark_20_z,landmark_20_visibility,landmark_21_x,landmark_21_y,landmark_21_z,landmark_21_visibility,landmark_22_x,landmark_22_y,landmark_22_z,landmark_22_visibility,landmark_23_x,landmark_23_y,landmark_23_z,landmark_23_visibility,landmark_24_x,landmark_24_y,landmark_24_z,landmark_24_visibility,landmark_25_x,landmark_25_y,landmark_25_z,landmark_25_visibility,landmark_26_x,landmark_26_y,landmark_26_z,landmark_26_visibility,landmark_27_x,landmark_27_y,landmark_27_z,landmark_27_visibility,landmark_28_x,landmark_28_y,landmark_28_z,landmark_28_visibility,landmark_29_x,landmark_29_y,landmark_29_z,landmark_29_visibility,landmark_30_x,landmark_30_y,landmark_30_z,landmark_30_visibility,landmark_31_x,landmark_31_y,landmark_31_z,landmark_31_visibility,landmark_32_x,landmark_32_y,landmark_32_z,landmark_32_visibility
0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.03333333333333333,True,0.3872182071208954,0.28946059942245483,-0.0850215032696724,0.9970639944076538,0.3943619430065155,0.2753303050994873,-0.10527607798576355,0.9980741739273071,0.39577534794807434,0.2754788100719452,-0.10535220056772232,0.9979619383811951,0.39735153317451477,0.27568644285202026,-0.1054287701845169,0.9989671111106873,0.3944283127784729,0.2751130163669586,-0.07004053145647049,0.9965245127677917,0.39587509632110596,0.2749471664428711,-0.07002363353967667,0.9944173693656921,0.39746323227882385,0.27475494146347046,-0.07012414187192917,0.9963719248771667,0.4113938510417938,0.28666380047798157,-0.15937790274620056,0.9988214373588562,0.41053101420402527,0.28532931208610535,-0.0043695843778550625,0.9970356822013855,0.39149290323257446,0.30685728788375854,-0.10257536917924881,0.9988299012184143,0.3908980190753937,0.3060995638370514,-0.05743177980184555,0.996472954750061,0.43132323026657104,0.39005863666534424,-0.24838845431804657,0.9997718334197998,0.4166625142097473,0.39973941445350647,0.10652130097150803,0.9932863116264343,0.41963890194892883,0.549339771270752,-0.28611424565315247,0.9877726435661316,0.40668991208076477,0.5507893562316895,0.14072956144809723,0.04800192639231682,0.38612011075019836,0.6923415660858154,-0.26991012692451477,0.9885521531105042,0.3894236385822296,0.6777292490005493,0.08275779336690903,0.07766962796449661,0.3809491991996765,0.7360138297080994,-0.31095090508461,0.9812768697738647,0.38332900404930115,0.7077886462211609,0.08564092963933945,0.07737036794424057,0.3758261799812317,0.7351154685020447,-0.30169782042503357,0.9805871844291687,0.3809206783771515,0.7177266478538513,0.05073745176196098,0.07756086438894272,0.37808623909950256,0.7183183431625366,-0.26480168104171753,0.9688718318939209,0.38525909185409546,0.7050686478614807,0.06646311283111572,0.08573880791664124,0.42393457889556885,0.6842846274375916,-0.1018119528889656,0.9961161017417908,0.41671642661094666,0.6817571520805359,0.10178205370903015,0.9933161735534668,0.39412200450897217,0.8888134956359863,-0.10937537997961044,0.5116131901741028,0.4065034091472626,0.8665574193000793,0.1376643180847168,0.2947441041469574,0.4175499379634857,1.0376639366149902,0.04902726411819458,0.1563078761100769,0.4097447991371155,1.029599905014038,0.2540871500968933,0.09089783579111099,0.43057844042778015,1.0581777095794678,0.062098179012537,0.21625468134880066,0.41736698150634766,1.0561907291412354,0.26360106468200684,0.16806037724018097,0.3895622789859772,1.078778624534607,0.018471529707312584,0.13418364524841309,0.3791762590408325,1.0668071508407593,0.2153269350528717,0.08521521091461182
2,0.06666666666666667,True,0.3873511552810669,0.28943541646003723,-0.06673745065927505,0.9973297119140625,0.3950639069080353,0.27526599168777466,-0.08766771852970123,0.9982395172119141,0.3966526985168457,0.2754213809967041,-0.08771741390228271,0.9981356263160706,0.39833545684814453,0.27564549446105957,-0.08775439858436584,0.9990497827529907,0.3949327766895294,0.27501094341278076,-0.05178916081786156,0.9968361258506775,0.39636552333831787,0.27483177185058594,-0.051774103194475174,0.9949270486831665,0.39789649844169617,0.2746393084526062,-0.05184245482087135,0.9966995716094971,0.4121079444885254,0.2867056727409363,-0.1464107185602188,0.9989199042320251,0.41092920303344727,0.28532925248146057,0.009951289743185043,0.9972915649414062,0.3922802805900574,0.30750730633735657,-0.08620690554380417,0.9989225268363953,0.39148613810539246,0.30639779567718506,-0.04061480611562729,0.9967896938323975,0.43031826615333557,0.3889330327510834,-0.24310213327407837,0.9997937679290771,0.4248548150062561,0.3983173370361328,0.12219221144914627,0.9939211010932922,0.41985684633255005,0.5463230013847351,-0.2849547564983368,0.9888584017753601,0.4158390760421753,0.5500023365020752,0.153776153922081,0.060890182852745056,0.38640791177749634,0.6929539442062378,-0.2729497253894806,0.9895377159118652,0.39637166261672974,0.6792259216308594,0.096895731985569,0.10362602770328522,0.3810228705406189,0.7375550866127014,-0.3170210123062134,0.9827275276184082,0.38454195857048035,0.7107267379760742,0.10277171432971954,0.10093339532613754,0.3759077787399292,0.7360965013504028,-0.3054571747779846,0.9820691347122192,0.38676586747169495,0.7203680276870728,0.06386365741491318,0.10094616562128067,0.3781176209449768,0.7201027274131775,-0.26719486713409424,0.9711723327636719,0.38914433121681213,0.7074334621429443,0.07970896363258362,0.10916777700185776,0.4229697585105896,0.6852486729621887,-0.10467172414064407,0.996406614780426,0.4203549921512604,0.6829665899276733,0.10464733093976974,0.9937872290611267,0.3944585621356964,0.8985902070999146,-0.09260263293981552,0.5014517903327942,0.40902408957481384,0.8815404772758484,0.13735751807689667,0.2695161998271942,0.4085049331188202,1.0832383632659912,0.00822832528501749,0.15987977385520935,0.4072568714618683,1.0674928426742554,0.22450004518032074,0.08366844058036804,0.4203275740146637,1.1086658239364624,0.014079559594392776,0.2440613955259323,0.4151552617549896,1.100395917892456,0.2298092097043991,0.1573042869567871,0.38007497787475586,1.1319115161895752,-0.03861350938677788,0.14513850212097168,0.36973637342453003,1.1036758422851562,0.17437569797039032,0.08092569559812546
3,0.1,True,0.38789603114128113,0.28957340121269226,-0.062386404722929,0.997569739818573,0.3962905704975128,0.27526333928108215,-0.0833883136510849,0.99838787317276,0.3980472683906555,0.27541837096214294,-0.08343517035245895,0.9982916116714478,0.39979416131973267,0.27564436197280884,-0.08347311615943909,0.9991241097450256,0.3958698809146881,0.2749951481819153,-0.047296278178691864,0.997115969657898,0.39726579189300537,0.27480626106262207,-0.047281838953495026,0.9953857660293579,0.398702472448349,0.27461332082748413,-0.047348104417324066,0.9969950318336487,0.41333919763565063,0.2867584228515625,-0.1420241892337799,0.9990087747573853,0.41163837909698486,0.2853465974330902,0.015374483540654182,0.9975205063819885,0.3934984803199768,0.3085787892341614,-0.08175472915172577,0.9990072846412659,0.39242199063301086,0.30718573927879333,-0.03588706627488136,0.9970753788948059,0.4302602708339691,0.3885273337364197,-0.24053552746772766,0.9998135566711426,0.42537063360214233,0.39769405126571655,0.12822064757347107,0.9944918751716614,0.4205229580402374,0.5463448166847229,-0.2831292450428009,0.9898448586463928,0.4168626368045807,0.5505677461624146,0.15978583693504333,0.07455941289663315,0.38705122470855713,0.6946688890457153,-0.273546040058136,0.9904272556304932,0.3965770900249481,0.6837881803512573,0.10281982272863388,0.1272587776184082,0.38148313760757446,0.7398598790168762,-0.31834518909454346,0.9840365052223206,0.38455307483673096,0.713878870010376,0.10794700682163239,0.12188480794429779,0.37618762254714966,0.7371916770935059,-0.30695322155952454,0.9834086298942566,0.3873300850391388,0.72480309009552,0.06948328018188477,0.12183254957199097,0.37833172082901,0.721878707408905,-0.2677893340587616,0.9732470512390137,0.3895123600959778,0.7113873958587646,0.08571446686983109,0.12987367808818817,0.4228779375553131,0.6875268220901489,-0.1058560237288475,0.9966616630554199,0.42126691341400146,0.6861357092857361,0.10583376884460449,0.994206428527832,0.39503633975982666,0.9079229235649109,-0.09061399102210999,0.4963895380496979,0.40968331694602966,0.8934404850006104,0.13401265442371368,0.24740543961524963,0.4059435725212097,1.1030422449111938,0.0060483780689537525,0.16685441136360168,0.40522727370262146,1.0857510566711426,0.22166424989700317,0.07760334014892578,0.4176315367221832,1.1282849311828613,0.012174717150628567,0.27036812901496887,0.41316983103752136,1.1189478635787964,0.22717706859111786,0.14829763770103455,0.3755875825881958,1.1572142839431763,-0.04594696685671806,0.15923120081424713,0.3669096827507019,1.1246311664581299,0.16736449301242828,0.07785238325595856
4,0.13333333333333333,True,0.38844308257102966,0.28955358266830444,-0.06188715621829033,0.9977846145629883,0.397250235080719,0.275161474943161,-0.08297403901815414,0.9985195994377136,0.3990689516067505,0.27532249689102173,-0.08301664888858795,0.9984297752380371,0.4008329510688782,0.2755667269229889,-0.08305336534976959,0.9991894960403442,0.3966902494430542,0.2748718559741974,-0.04682217910885811,0.9973658323287964,0.398049920797348,0.27467986941337585,-0.04680938646197319,0.9957958459854126,0.3994111716747284,0.27449679374694824,-0.04687701538205147,0.9972589612007141,0.4140937030315399,0.2867717146873474,-0.14185304939746857,0.9990869760513306,0.41206303238868713,0.2853381931781769,0.015633609145879745,0.997724711894989,0.39442017674446106,0.3089584708213806,-0.08128588646650314,0.9990807175636292,0.3932092487812042,0.3074639141559601,-0.0353882759809494,0.9973294138908386,0.4302811622619629,0.38777968287467957,-0.2408020794391632,0.9998314380645752,0.4256075620651245,0.397160142660141,0.12911541759967804,0.9950087070465088,0.42154818773269653,0.5455104112625122,-0.2832896113395691,0.990748941898346,0.4175325036048889,0.5506574511528015,0.1613808572292328,0.08796568214893341,0.38747790455818176,0.6970374584197998,-0.27856165170669556,0.991252601146698,0.3968348205089569,0.6873605251312256,0.10752464830875397,0.15062659978866577,0.3820105493068695,0.742239773273468,-0.3243829309940338,0.9852755069732666,0.3872681260108948,0.7221401929855347,0.11358227580785751,0.14249414205551147,0.3768240213394165,0.7393808960914612,-0.3123670220375061,0.9846780300140381,0.38810259103775024,0.7271278500556946,0.07514016330242157,0.14217062294483185,0.37884601950645447,0.7245498299598694,-0.27248919010162354,0.9752224683761597,0.39038386940956116,0.7140966653823853,0.09062588214874268,0.15000613033771515,0.42288506031036377,0.6891306638717651,-0.10742165893316269,0.996896505355835,0.42224153876304626,0.6877420544624329,0.10740294307470322,0.9946089386940002,0.39518749713897705,0.9113715291023254,-0.09105417877435684,0.48785319924354553,0.41095781326293945,0.8978717923164368,0.1333882212638855,0.22668391466140747,0.40423765778541565,1.1077872514724731,0.0013298551784828305,0.16926510632038116,0.40412554144859314,1.0921536684036255,0.21985623240470886,0.0716751292347908,0.4159899950027466,1.1326584815979004,0.007331346161663532,0.2930557131767273,0.41198933124542236,1.125732421875,0.22514931857585907,0.13920998573303223,0.3743939697742462,1.1633228063583374,-0.048616278916597366,0.16860932111740112,0.36545583605766296,1.131449580192566,0.1651138961315155,0.07410436868667603
5,0.16666666666666666,True,0.388776957988739,0.28917253017425537,-0.0626864805817604,0.997961163520813,0.3979095220565796,0.2747620642185211,-0.0842132419347763,0.9986265897750854,0.3997463881969452,0.2749844491481781,-0.08425510674715042,0.9985422492027283,0.4015209376811981,0.2753000855445862,-0.08429189026355743,0.9992407560348511,0.3972511887550354,0.27434852719306946,-0.04759548604488373,0.9975713491439819,0.3985687494277954,0.27414050698280334,-0.047585368156433105,0.9961392879486084,0.3998836278915405,0.2739711105823517,-0.04765234887599945,0.9974784851074219,0.41449692845344543,0.2867727279663086,-0.14397870004177094,0.9991502165794373,0.41229569911956787,0.28525859117507935,0.015096656046807766,0.9978893995285034,0.394692987203598,0.30896851420402527,-0.08256064355373383,0.9991339445114136,0.39342042803764343,0.3074594736099243,-0.03603055328130722,0.997536301612854,0.43028971552848816,0.3877422511577606,-0.24236804246902466,0.999847412109375,0.4269729256629944,0.3965792655944824,0.12993690371513367,0.9954599738121033,0.42195039987564087,0.5452142357826233,-0.29182159900665283,0.9915562868118286,0.4183802306652069,0.5506575703620911,0.16472803056240082,0.0966142937541008,0.38791951537132263,0.6998018026351929,-0.2896643877029419,0.9919905662536621,0.39749282598495483,0.6883251667022705,0.11066369712352753,0.16720843315124512,0.38239023089408875,0.7445319890975952,-0.3358529210090637,0.9863779544830322,0.38763874769210815,0.7223427295684814,0.11713499575853348,0.1573130339384079,0.37728017568588257,0.7414710521697998,-0.3229888081550598,0.9858070611953735,0.38869038224220276,0.7282732129096985,0.07798795402050018,0.15678969025611877,0.3792208433151245,0.727755606174469,-0.2832948863506317,0.9769635796546936,0.3911575973033905,0.7158412337303162,0.0934458076953888,0.16470475494861603,0.4229302406311035,0.6922667622566223,-0.11057943850755692,0.9971044659614563,0.42325684428215027,0.6906179785728455,0.11056150496006012,0.99491947889328,0.3951844274997711,0.9134565591812134,-0.08919227123260498,0.48127397894859314,0.41156381368637085,0.8972685933113098,0.13936419785022736,0.20769573748111725,0.4050176441669464,1.1120623350143433,-0.004245341755449772,0.17388589680194855,0.40575265884399414,1.0891952514648438,0.22598876059055328,0.06599028408527374,0.41739264130592346,1.137201189994812,0.0007400902104564011,0.31448477506637573,0.41456905007362366,1.1217353343963623,0.23183657228946686,0.13027486205101013,0.3739815652370453,1.168499231338501,-0.05834045261144638,0.17873643338680267,0.36555489897727966,1.1302918195724487,0.1744455248117447,0.07025298476219177
6,0.2,True,0.3889884054660797,0.28903335332870483,-0.06176907569169998,0.9981122612953186,0.398470014333725,0.2745676338672638,-0.0835820734500885,0.9987139105796814,0.4003201127052307,0.27482905983924866,-0.0836116150021553,0.9986328482627869,0.4021011292934418,0.27518993616104126,-0.08364297449588776,0.9992802143096924,0.39776143431663513,0.2740691900253296,-0.046856589615345,0.9977473020553589,0.399064838886261,0.2738458514213562,-0.04684168100357056,0.9964338541030884,0.4003527760505676,0.27368342876434326,-0.04691106453537941,0.9976669549942017,0.4147960841655731,0.2867768108844757,-0.14432834088802338,0.9992003440856934,0.4125303328037262,0.28521791100502014,0.015434611588716507,0.9980223774909973,0.3948248326778412,0.30906161665916443,-0.08177780359983444,0.999174952507019,0.3935135304927826,0.307466983795166,-0.035094037652015686,0.9977141618728638,0.43029630184173584,0.3875215947628021,-0.24292053282260895,0.9998618364334106,0.4270143210887909,0.39646103978157043,0.13090083003044128,0.9958680868148804,0.422647625207901,0.5447189211845398,-0.2947506904602051,0.992300808429718,0.4184516370296478,0.5506665706634521,0.16722209751605988,0.10652801394462585,0.3881174623966217,0.7027229070663452,-0.29382234811782837,0.9926730990409851,0.39771905541419983,0.6921820640563965,0.11595285683870316,0.18576230108737946,0.3825890123844147,0.7474566698074341,-0.3393614590167999,0.9874129891395569,0.38847219944000244,0.730082631111145,0.12293419241905212,0.17404650151729584,0.37766897678375244,0.7441287636756897,-0.32694968581199646,0.986865758895874,0.3889465630054474,0.7326586246490479,0.08430492877960205,0.17320789396762848,0.379497230052948,0.7306035757064819,-0.28751811385154724,0.9786049127578735,0.39156919717788696,0.7215858101844788,0.09899943321943283,0.18108950555324554,0.42295175790786743,0.6940175294876099,-0.1111573874950409,0.9972760677337646,0.4241637587547302,0.6927168965339661,0.11114346235990524,0.9951926469802856,0.3960340917110443,0.9149465560913086,-0.08573344349861145,0.47658446431159973,0.4127518832683563,0.9008694887161255,0.1392078846693039,0.1909220665693283,0.4051521420478821,1.1176398992538452,-0.0016917831962928176,0.17667704820632935,0.4058555066585541,1.097346544265747,0.2227758914232254,0.060870684683322906,0.4176097810268402,1.1454877853393555,0.0031988949049264193,0.33228346705436707,0.4145949184894562,1.1314356327056885,0.22766071557998657,0.1220334991812706,0.37235671281814575,1.169593095779419,-0.05824442207813263,0.18703188002109528,0.36690548062324524,1.1357407569885254,0.166684091091156,0.06664543598890305
7,0.23333333333333334,True,0.38922733068466187,0.28870630264282227,-0.0632283091545105,0.9982272386550903,0.3987303078174591,0.27436551451683044,-0.08500465750694275,0.9987770318984985,0.4006028473377228,0.2746204733848572,-0.08504068851470947,0.9987034201622009,0.4024145305156708,0.2749778628349304,-0.0850757360458374,0.9993064999580383,0.39802899956703186,0.27381986379623413,-0.048166703432798386,0.9978747963905334,0.3993450999259949,0.2735580503940582,-0.04815733805298805,0.9966678619384766,0.40065625309944153,0.2733592987060547,-0.048232536762952805,0.9978103041648865,0.41519027948379517,0.28671592473983765,-0.14519479870796204,0.999237596988678,0.41278260946273804,0.28505808115005493,0.015307365916669369,0.998113751411438,0.3950880169868469,0.309041291475296,-0.08304653316736221,0.9992026090621948,0.3937787711620331,0.30738621950149536,-0.036146365106105804,0.9978491067886353,0.4307650327682495,0.3870113492012024,-0.24594895541667938,0.9998748898506165,0.4267879128456116,0.3960380256175995,0.13216343522071838,0.9962189793586731,0.4231162369251251,0.5444383025169373,-0.2994159460067749,0.9929457902908325,0.4178959131240845,0.5507426857948303,0.16902026534080505,0.11077043414115906,0.38909539580345154,0.7023643851280212,-0.3004649877548218,0.9932570457458496,0.39804136753082275,0.6931604743003845,0.11493595689535141,0.19571134448051453,0.38324543833732605,0.7469891309738159,-0.3464208245277405,0.9882884621620178,0.38923245668411255,0.7314287424087524,0.12103594094514847,0.183639258146286,0.37856200337409973,0.7439972162246704,-0.3339771628379822,0.9877583384513855,0.38953694701194763,0.7336806058883667,0.08207444101572037,0.18283258378505707,0.3803640604019165,0.7303500771522522,-0.29408273100852966,0.9799741506576538,0.39221861958503723,0.7219892740249634,0.09765246510505676,0.19079379737377167,0.4231223165988922,0.6955441832542419,-0.11400661617517471,0.9974499344825745,0.42432114481925964,0.6952012181282043,0.11398418992757797,0.9953882694244385,0.39758655428886414,0.927638590335846,-0.09519515931606293,0.4792684316635132,0.41256263852119446,0.8994488716125488,0.14200012385845184,0.1761683076620102,0.4055294692516327,1.1146390438079834,-0.0054361894726753235,0.1870875507593155,0.41306689381599426,1.0878359079360962,0.22883754968643188,0.056745223701000214,0.4186134338378906,1.1393580436706543,0.0004727736231870949,0.35268107056617737,0.4233333468437195,1.1198829412460327,0.23409920930862427,0.11681084334850311,0.37374207377433777,1.1722841262817383,-0.05914546549320221,0.20036831498146057,0.3797820806503296,1.1322205066680908,0.17925958335399628,0.06470638513565063
8,0.26666666666666666,True,0.38977327942848206,0.28869763016700745,-0.06723050028085709,0.9983644485473633,0.39910709857940674,0.2743622064590454,-0.08903030306100845,0.9988604187965393,0.4010009169578552,0.2746087908744812,-0.08906025439500809,0.9987924695014954,0.4028579294681549,0.2749502658843994,-0.08908741921186447,0.9993484616279602,0.39830395579338074,0.27381816506385803,-0.052046071738004684,0.9980322122573853,0.3995617628097534,0.273552268743515,-0.05204632133245468,0.9969298243522644,0.40082964301109314,0.2733413875102997,-0.052108362317085266,0.9979764819145203,0.4159342050552368,0.2867388427257538,-0.14884833991527557,0.9992878437042236,0.412967324256897,0.285055935382843,0.012023798190057278,0.9982385635375977,0.39559048414230347,0.3091774880886078,-0.08691876381635666,0.9992488026618958,0.3941906690597534,0.30746200680732727,-0.039927322417497635,0.9980093836784363,0.4312828779220581,0.38693132996559143,-0.25137922167778015,0.9998868107795715,0.4269585907459259,0.39598891139030457,0.13009430468082428,0.9965554475784302,0.4238913655281067,0.5441305637359619,-0.30288219451904297,0.9935646057128906,0.4180748164653778,0.5514018535614014,0.16640165448188782,0.11809670180082321,0.3902062773704529,0.7020677924156189,-0.30492061376571655,0.993829607963562,0.39818114042282104,0.6929939985275269,0.11242399364709854,0.20907525718212128,0.38429009914398193,0.7466546893119812,-0.3516682982444763,0.989176869392395,0.3898284137248993,0.7311314344406128,0.1191033199429512,0.19542233645915985,0.37938737869262695,0.7438329458236694,-0.3386353552341461,0.9886739253997803,0.38995885848999023,0.7337421178817749,0.07962140440940857,0.19452384114265442,0.3812318444252014,0.7299496531486511,-0.29829415678977966,0.9814006686210632,0.3925572633743286,0.7217512130737305,0.09512107819318771,0.2026243805885315,0.4235178828239441,0.6957854628562927,-0.11436177045106888,0.9976152777671814,0.42516031861305237,0.6958931088447571,0.11435150355100632,0.9956364035606384,0.3989166021347046,0.9306182265281677,-0.09516334533691406,0.4766211211681366,0.4127664268016815,0.897578239440918,0.14631059765815735,0.1619938760995865,0.4058886468410492,1.1099292039871216,-0.00659381877630949,0.19117625057697296,0.4127422571182251,1.0844662189483643,0.2298136204481125,0.05261063575744629,0.41907399892807007,1.133368968963623,-0.0007100811344571412,0.3712158501148224,0.4225769340991974,1.115920901298523,0.23587355017662048,0.11095917224884033,0.3744748532772064,1.1684614419937134,-0.055524326860904694,0.20812486112117767,0.3792106807231903,1.1284937858581543,0.17952993512153625,0.06201459839940071
9,0.3,True,0.39012035727500916,0.2889370918273926,-0.07210232317447662,0.9984777569770813,0.39925989508628845,0.27457520365715027,-0.09380896389484406,0.9989265203475952,0.4011799991130829,0.27477264404296875,-0.0938357561826706,0.9988636374473572,0.4030786156654358,0.2750604748725891,-0.0938621386885643,0.9993796944618225,0.3983910381793976,0.2740465998649597,-0.057174861431121826,0.9981621503829956,0.3996269106864929,0.27374139428138733,-0.05717945471405983,0.9971523880958557,0.4008808732032776,0.2734675705432892,-0.05724688246846199,0.9981168508529663,0.41647469997406006,0.28687331080436707,-0.15306758880615234,0.9993260502815247,0.41315409541130066,0.2851003408432007,0.006220086477696896,0.9983418583869934,0.39602020382881165,0.30970317125320435,-0.09156826138496399,0.9992833137512207,0.3945262134075165,0.30799946188926697,-0.04507364705204964,0.9981427788734436,0.43168994784355164,0.3869340717792511,-0.2547723054885864,0.9998974204063416,0.4272013008594513,0.39599519968032837,0.12758217751979828,0.9968584179878235,0.4242556393146515,0.5441552996635437,-0.302911639213562,0.9941083788871765,0.418687641620636,0.5521492958068848,0.16510863602161407,0.12365635484457016,0.39113935828208923,0.7019052505493164,-0.3035230338573456,0.9943255186080933,0.39878275990486145,0.6932754516601562,0.1105559766292572,0.22046637535095215,0.3850766122341156,0.7464540600776672,-0.34993425011634827,0.9899346232414246,0.3905707001686096,0.7314822673797607,0.11724518239498138,0.20588785409927368,0.38008612394332886,0.7436969876289368,-0.33708855509757996,0.9894520044326782,0.3906185030937195,0.7345119714736938,0.07788970321416855,0.20490282773971558,0.38198649883270264,0.7298687696456909,-0.2969914972782135,0.9826129078865051,0.39327847957611084,0.7224379181861877,0.09334910660982132,0.21309338510036469,0.42390772700309753,0.6965324878692627,-0.114222951233387,0.997763454914093,0.42582979798316956,0.6971102952957153,0.11421681195497513,0.9958567023277283,0.39937636256217957,0.9318692684173584,-0.09533574432134628,0.47331833839416504,0.4127192795276642,0.8963809013366699,0.1487361043691635,0.14884288609027863,0.4061599671840668,1.10759699344635,-0.0071268645115196705,0.19297505915164948,0.41289108991622925,1.0818679332733154,0.23370078206062317,0.04869362339377403,0.41939693689346313,1.1304055452346802,-0.001042499323375523,0.3860674202442169,0.42265960574150085,1.1129093170166016,0.2395489513874054,0.10535918921232224,0.37455329298973083,1.1660505533218384,-0.052815139293670654,0.21307088434696198,0.37877988815307617,1.1256080865859985,0.18974190950393677,0.05921104550361633
