frame,landmark_index,x,y,z,visibility
0,0,0.4815867245197296,0.18410710990428925,-0.2939925193786621,0.9949790239334106
0,1,0.4917105436325073,0.17562399804592133,-0.28188979625701904,0.9945384860038757
0,2,0.4950885474681854,0.17528928816318512,-0.2819574773311615,0.9931275248527527
0,3,0.502159595489502,0.17419011890888214,-0.28202468156814575,0.9939620494842529
0,4,0.4713118076324463,0.1782660186290741,-0.28426501154899597,0.9948715567588806
0,5,0.46877965331077576,0.1787911355495453,-0.28426194190979004,0.9930719137191772
0,6,0.460563600063324,0.17993681132793427,-0.28440842032432556,0.9943088889122009
0,7,0.5104893445968628,0.17667993903160095,-0.18748050928115845,0.9921314120292664
0,8,0.4593861997127533,0.18028664588928223,-0.19828931987285614,0.9945264458656311
0,9,0.4917095899581909,0.19286075234413147,-0.25717467069625854,0.9974907040596008
0,10,0.47556596994400024,0.1942874640226364,-0.2603038549423218,0.9975131154060364
0,11,0.5335280299186707,0.27943551540374756,-0.15156669914722443,0.9991801977157593
0,12,0.42980441451072693,0.28513044118881226,-0.14563141763210297,0.9987136721611023
0,13,0.5579738020896912,0.3603949546813965,-0.2690283954143524,0.9251462817192078
0,14,0.3846707046031952,0.39404696226119995,-0.19073466956615448,0.8459839224815369
0,15,0.545533299446106,0.3353680968284607,-0.45651137828826904,0.9156386852264404
0,16,0.34274017810821533,0.4903133809566498,-0.31133851408958435,0.8234370946884155
0,17,0.5465914011001587,0.3346768021583557,-0.48857223987579346,0.9024537205696106
0,18,0.3244759738445282,0.514718234539032,-0.3323376476764679,0.7793663144111633
0,19,0.53874272108078,0.32236379384994507,-0.4945826232433319,0.9034017324447632
0,20,0.33063897490501404,0.5164024233818054,-0.36007678508758545,0.7895879745483398
0,21,0.5364259481430054,0.32654571533203125,-0.4621204733848572,0.89618319272995
0,22,0.34114426374435425,0.5123876929283142,-0.32487916946411133,0.7846972942352295
0,23,0.5182750821113586,0.5308181643486023,0.005510289687663317,0.992608368396759
0,24,0.45251116156578064,0.542628288269043,-0.005766316782683134,0.9909751415252686
0,25,0.5714166760444641,0.6404638886451721,-0.12516269087791443,0.7968870401382446
0,26,0.4140340983867645,0.6934124231338501,-0.2758265435695648,0.5460420250892639
0,27,0.540152370929718,0.6349006295204163,0.0827367827296257,0.45881277322769165
0,28,0.4893380403518677,0.6353957056999207,-0.03233008086681366,0.27938297390937805
0,29,0.5308439135551453,0.6227080225944519,0.1075403019785881,0.29846513271331787
0,30,0.4988211989402771,0.6176629066467285,-0.0009404022712260485,0.2589251399040222
