frame,nose_x,nose_y,nose_z,nose_v,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_v,left_eye_x,left_eye_y,left_eye_z,left_eye_v,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_v,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_v,right_eye_x,right_eye_y,right_eye_z,right_eye_v,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_v,left_ear_x,left_ear_y,left_ear_z,left_ear_v,right_ear_x,right_ear_y,right_ear_z,right_ear_v,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_v,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_v,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_v,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_v,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_v,left_index_x,left_index_y,left_index_z,left_index_v,right_index_x,right_index_y,right_index_z,right_index_v,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_v,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_v,left_hip_x,left_hip_y,left_hip_z,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_v,left_knee_x,left_knee_y,left_knee_z,left_knee_v,right_knee_x,right_knee_y,right_knee_z,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_v,left_heel_x,left_heel_y,left_heel_z,left_heel_v,right_heel_x,right_heel_y,right_heel_z,right_heel_v,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_v,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_v
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.54175865650177,0.11026462912559509,0.25905969738960266,0.9999207258224487,0.5376218557357788,0.09345805644989014,0.22023355960845947,0.9998962879180908,0.5342231392860413,0.09373310208320618,0.22025898098945618,0.9999058246612549,0.5306745171546936,0.09441933035850525,0.2202771157026291,0.9998807311058044,0.5477291941642761,0.09385725855827332,0.2252943068742752,0.9999161958694458,0.5512570738792419,0.09421703219413757,0.22531196475028992,0.9999290704727173,0.5550526976585388,0.09498333185911179,0.22525019943714142,0.9999125003814697,0.524865448474884,0.10592779517173767,0.07983150333166122,0.9999122619628906,0.5584105849266052,0.10561144351959229,0.10209795087575912,0.9999092221260071,0.5364528894424438,0.12569457292556763,0.21568922698497772,0.9998375177383423,0.5471603870391846,0.12665459513664246,0.22185830771923065,0.999859094619751,0.4843687117099762,0.20497006177902222,0.009730379097163677,0.9997612237930298,0.5917606353759766,0.2189115583896637,0.040465179830789566,0.999852180480957,0.4580865800380707,0.3627035319805145,-0.010839044116437435,0.9784259796142578,0.6050548553466797,0.3778012692928314,0.06532789766788483,0.9882652163505554,0.444436252117157,0.4970795810222626,0.03550950065255165,0.5590762495994568,0.603173017501831,0.5030896067619324,0.1429295837879181,0.8168256282806396,0.43982982635498047,0.541538417339325,0.03325868770480156,0.42765653133392334,0.6041309237480164,0.5419877767562866,0.15366560220718384,0.7057993412017822,0.4452056288719177,0.536895215511322,0.038010209798812866,0.41180405020713806,0.595240592956543,0.537971019744873,0.15010227262973785,0.6901378631591797,0.45022568106651306,0.5230069160461426,0.03856118768453598,0.3669703006744385,0.5913309454917908,0.5232876539230347,0.14395397901535034,0.617042601108551,0.5001214742660522,0.5077200531959534,-0.0038575264625251293,0.999724805355072,0.5585139393806458,0.5050613880157471,0.0036453313659876585,0.9996503591537476,0.4928974211215973,0.7236331701278687,0.02924267016351223,0.9951341152191162,0.5481820106506348,0.7366310954093933,0.07458695769309998,0.9941259026527405,0.4773308336734772,0.9357601404190063,0.06801944226026535,0.9902644157409668,0.5348659157752991,0.9632889628410339,0.1147935539484024,0.9910999536514282,0.47832077741622925,0.971541702747345,0.07101590186357498,0.9920415878295898,0.5294237732887268,0.9943820238113403,0.1181277185678482,0.9913641214370728,0.4733063578605652,0.9461666345596313,0.03497603163123131,0.8656187653541565,0.5451024174690247,0.9620622992515564,0.07566928118467331,0.8810214996337891
2,0.5419944524765015,0.11110988259315491,0.1848181188106537,0.9999135732650757,0.5380855202674866,0.09413833916187286,0.14771530032157898,0.9998903870582581,0.5346561074256897,0.09431229531764984,0.14775493741035461,0.9999004602432251,0.531114399433136,0.09486055374145508,0.14777792990207672,0.9998752474784851,0.5477335453033447,0.09443225711584091,0.1496565341949463,0.9999082088470459,0.55112224817276,0.09471065551042557,0.14965008199214935,0.9999207854270935,0.5545127987861633,0.09539525955915451,0.14957766234874725,0.9999022483825684,0.5252110362052917,0.10605035722255707,0.020611878484487534,0.9999076724052429,0.5582075119018555,0.10651448369026184,0.02914806641638279,0.9999048709869385,0.5365501046180725,0.12652131915092468,0.14657464623451233,0.999840497970581,0.5470609664916992,0.1276049166917801,0.1489863395690918,0.9998608827590942,0.4847458302974701,0.20547710359096527,-0.021554192528128624,0.9997677803039551,0.5919858813285828,0.21891197562217712,-0.0311288945376873,0.9998564720153809,0.4579513669013977,0.3627721071243286,-0.027753978967666626,0.978330671787262,0.6057897806167603,0.3776319622993469,0.0019885259680449963,0.9859980344772339,0.4445923864841461,0.49971482157707214,0.02028644271194935,0.5819745063781738,0.6034308671951294,0.5040871500968933,0.09200519323348999,0.7981202602386475,0.4396357536315918,0.5414957404136658,0.019236179068684578,0.4502098858356476,0.604120671749115,0.5421314835548401,0.10507325083017349,0.6845685243606567,0.4460248053073883,0.5365318059921265,0.020901525393128395,0.4336422383785248,0.5952687859535217,0.5385611057281494,0.09729892015457153,0.6684190630912781,0.45152583718299866,0.5229745507240295,0.022128654643893242,0.3853570520877838,0.5913407206535339,0.5240198373794556,0.09240653365850449,0.5991944670677185,0.5010628700256348,0.5091668963432312,0.012678856030106544,0.9997081160545349,0.559210479259491,0.5076329708099365,-0.01296917349100113,0.9996320009231567,0.4943799078464508,0.7243789434432983,0.05280368775129318,0.9943192601203918,0.5521963834762573,0.7440109252929688,0.05836925655603409,0.993245005607605,0.47793683409690857,0.9351962804794312,0.09661706537008286,0.9888954758644104,0.5349628925323486,0.9632835984230042,0.09749238938093185,0.9892536401748657,0.47822171449661255,0.9715243577957153,0.09962067008018494,0.9905062913894653,0.529437780380249,0.9942624568939209,0.10098792612552643,0.9893577694892883,0.47865039110183716,0.9391965270042419,0.06435050815343857,0.8600006699562073,0.5524610280990601,0.9618311524391174,0.058993227779865265,0.870387852191925
3,0.542518138885498,0.11172299087047577,0.19687007367610931,0.9999116659164429,0.5388287305831909,0.09461874514818192,0.1603812426328659,0.9998895525932312,0.5353893041610718,0.09472700953483582,0.1604197919368744,0.9998996257781982,0.5318623185157776,0.09518010169267654,0.1604483425617218,0.9998751282691956,0.5479637980461121,0.0949016660451889,0.16199424862861633,0.9999054670333862,0.551162600517273,0.09517346322536469,0.1619998961687088,0.9999173283576965,0.554510235786438,0.09581679105758667,0.16193825006484985,0.999897837638855,0.5259070992469788,0.10614211857318878,0.033704549074172974,0.9999070763587952,0.5582345724105835,0.10721490532159805,0.04100356996059418,0.9999045729637146,0.536942720413208,0.1271689385175705,0.15868374705314636,0.999847948551178,0.5471030473709106,0.1284102350473404,0.16068445146083832,0.9998666644096375,0.4857136607170105,0.20618224143981934,-0.012486576102674007,0.9997785091400146,0.5924742817878723,0.21913854777812958,-0.023530254140496254,0.9998623728752136,0.4583635926246643,0.36307215690612793,-0.026566382497549057,0.9785204529762268,0.6063537001609802,0.3776461184024811,0.0046889083459973335,0.9846299886703491,0.4448440670967102,0.5001062750816345,0.02136927656829357,0.6090304255485535,0.6036033630371094,0.5048841238021851,0.08674843609333038,0.789026141166687,0.4396878182888031,0.5414499640464783,0.019244074821472168,0.4795951843261719,0.6041586995124817,0.5424915552139282,0.09790202975273132,0.6737627983093262,0.4470115602016449,0.5363898277282715,0.02037697657942772,0.462695449590683,0.5953391194343567,0.5397466421127319,0.08911088854074478,0.6571968793869019,0.45264896750450134,0.5229363441467285,0.022930335253477097,0.4119010865688324,0.5913721919059753,0.5254632830619812,0.0865982323884964,0.5907936692237854,0.5018144249916077,0.5101261734962463,0.021995123475790024,0.999704897403717,0.5597702264785767,0.5088367462158203,-0.02229982800781727,0.9996272921562195,0.4955642819404602,0.725101888179779,0.06410931050777435,0.9938454627990723,0.5549076199531555,0.7493493556976318,0.04878844693303108,0.9929186105728149,0.47794589400291443,0.9349855780601501,0.10828320682048798,0.9882534146308899,0.5349981188774109,0.9641999006271362,0.0896805003285408,0.9884569048881531,0.4777488112449646,0.971558153629303,0.1112854853272438,0.9897628426551819,0.5294362902641296,0.9943841695785522,0.0934048593044281,0.9883722066879272,0.48143619298934937,0.936260998249054,0.07638123631477356,0.858204185962677,0.5553117990493774,0.961887001991272,0.05017630010843277,0.8656456470489502
4,0.5430539846420288,0.11296595633029938,0.20102755725383759,0.9999086260795593,0.5395476818084717,0.09564951807260513,0.16453917324543,0.9998871684074402,0.5361407995223999,0.09566967934370041,0.1645791232585907,0.9998974204063416,0.5326261520385742,0.09600091725587845,0.16460779309272766,0.999873161315918,0.5484009981155396,0.09590360522270203,0.1663016378879547,0.999901294708252,0.5514163374900818,0.09616953879594803,0.1663101762533188,0.9999125599861145,0.5546636581420898,0.09675352275371552,0.1662445217370987,0.9998916983604431,0.5266903638839722,0.10661804676055908,0.037181176245212555,0.9999050498008728,0.5585392713546753,0.108279749751091,0.04491448774933815,0.9999029636383057,0.5374134182929993,0.12813839316368103,0.16247275471687317,0.9998536705970764,0.5473043918609619,0.1296403557062149,0.1646665781736374,0.9998711347579956,0.486477792263031,0.20747922360897064,-0.008605319075286388,0.9997867345809937,0.5930532217025757,0.21929208934307098,-0.021079586818814278,0.9998677968978882,0.45860862731933594,0.36523517966270447,-0.024419091641902924,0.978242039680481,0.6067212224006653,0.3776446580886841,0.006858401000499725,0.9834287166595459,0.44564780592918396,0.5023617148399353,0.022459683939814568,0.6309215426445007,0.6043174266815186,0.5055509805679321,0.08755547553300858,0.7800564765930176,0.44069361686706543,0.5428447127342224,0.02042088285088539,0.5033558011054993,0.6048070788383484,0.5427908897399902,0.09863032400608063,0.6635154485702515,0.44908133149147034,0.537533164024353,0.02132026106119156,0.4859655201435089,0.5959119200706482,0.5403995513916016,0.09022876620292664,0.6465440988540649,0.45474234223365784,0.5238182544708252,0.023920241743326187,0.43276551365852356,0.5917789936065674,0.5263944864273071,0.08752487599849701,0.5827621221542358,0.5024199485778809,0.5112801790237427,0.024366015568375587,0.9997035264968872,0.5603633522987366,0.5100491046905518,-0.02466275542974472,0.9996263384819031,0.4961765706539154,0.7259039878845215,0.07129698246717453,0.9932594895362854,0.5557923316955566,0.7518880367279053,0.04884614422917366,0.9925553798675537,0.47736936807632446,0.9348329901695251,0.11792661249637604,0.9874651432037354,0.5348461270332336,0.9651591181755066,0.09152685105800629,0.9876407384872437,0.47579288482666016,0.9715826511383057,0.12135449796915054,0.9889065027236938,0.528866171836853,0.99479079246521,0.09552467614412308,0.9874037504196167,0.4810507893562317,0.9356070756912231,0.08901288360357285,0.8554424047470093,0.5566006898880005,0.962317168712616,0.05349051207304001,0.8605737090110779
5,0.5435625314712524,0.11576651781797409,0.1945652961730957,0.999905526638031,0.5400126576423645,0.09808327257633209,0.1588238775730133,0.9998847842216492,0.536544680595398,0.0979195386171341,0.15886397659778595,0.9998950362205505,0.5330033302307129,0.09802296757698059,0.15888598561286926,0.9998711943626404,0.5487993359565735,0.09845960140228271,0.15976497530937195,0.9998974204063416,0.551733136177063,0.09872611612081528,0.15977156162261963,0.9999078512191772,0.5548871755599976,0.0992579385638237,0.1597018539905548,0.9998859763145447,0.5271409749984741,0.10782141238451004,0.03438062220811844,0.9999027252197266,0.5587602853775024,0.11028440296649933,0.038721662014722824,0.9999016523361206,0.5378111600875854,0.13017882406711578,0.15720726549625397,0.9998583793640137,0.5475553274154663,0.1320532113313675,0.15845328569412231,0.9998748898506165,0.4869478642940521,0.20908929407596588,-0.006615553051233292,0.9997931718826294,0.5932469964027405,0.2195034623146057,-0.02928207255899906,0.9998742341995239,0.4588203430175781,0.3660602867603302,-0.018287673592567444,0.977153480052948,0.606756865978241,0.3776555359363556,-7.356955029536039e-05,0.9826598167419434,0.4477977752685547,0.5047775506973267,0.023171693086624146,0.6460732817649841,0.6053200960159302,0.5059137344360352,0.08424509316682816,0.7736594676971436,0.4422672688961029,0.5443623661994934,0.021043024957180023,0.5196216106414795,0.6058498620986938,0.5429105162620544,0.09485826641321182,0.6555083394050598,0.4514335095882416,0.5386928915977478,0.023079514503479004,0.5015597939491272,0.5967088937759399,0.5406369566917419,0.08782870322465897,0.6381571888923645,0.4571831226348877,0.5246241688728333,0.025266889482736588,0.4461662769317627,0.5923894643783569,0.5266884565353394,0.08480066061019897,0.5767768621444702,0.5029907822608948,0.5118062496185303,0.02844775654375553,0.9997013211250305,0.5610143542289734,0.510409951210022,-0.02878630720078945,0.9996281266212463,0.497183233499527,0.7259024977684021,0.08492458611726761,0.9922194480895996,0.5564038157463074,0.7519505023956299,0.04942359775304794,0.9919564127922058,0.47736984491348267,0.9344677329063416,0.1383928507566452,0.9861606359481812,0.5347927808761597,0.9657749533653259,0.0948142558336258,0.9865635633468628,0.4754566550254822,0.9712771773338318,0.14273278415203094,0.9875902533531189,0.5285619497299194,0.994917631149292,0.09855522960424423,0.9861577153205872,0.48190173506736755,0.9348277449607849,0.11394491046667099,0.8507528305053711,0.5564538240432739,0.9628344178199768,0.05421912670135498,0.8545837998390198
6,0.5443236231803894,0.11718446761369705,0.19672514498233795,0.9999057054519653,0.5407558083534241,0.09944595396518707,0.1616520881652832,0.9998857378959656,0.5372830629348755,0.09921157360076904,0.16169430315494537,0.9998957514762878,0.5337246656417847,0.09924834221601486,0.1617211401462555,0.9998728632926941,0.5494768619537354,0.09980814903974533,0.16242364048957825,0.9998972415924072,0.5523635149002075,0.10005568712949753,0.16243186593055725,0.9999068379402161,0.5554149150848389,0.10052439570426941,0.16236546635627747,0.999884843826294,0.5279396772384644,0.10880063474178314,0.03888791427016258,0.9999030232429504,0.559207558631897,0.11136273294687271,0.042913127690553665,0.9999027252197266,0.5386480093002319,0.13139250874519348,0.15995702147483826,0.9998646974563599,0.5482470989227295,0.13328313827514648,0.1609409749507904,0.9998801946640015,0.4873681664466858,0.20999181270599365,-0.003646341385319829,0.9997990727424622,0.593670129776001,0.21977750957012177,-0.025946959853172302,0.9998798370361328,0.45997992157936096,0.36607348918914795,-0.01425433624535799,0.9765946865081787,0.6073733568191528,0.37701714038848877,-0.0018620032351464033,0.9822316765785217,0.449432909488678,0.5050358176231384,0.02137845940887928,0.6618337035179138,0.6071433424949646,0.5058018565177917,0.07476349920034409,0.7699925303459167,0.4432447552680969,0.5443751215934753,0.019175823777914047,0.5364203453063965,0.6084389686584473,0.5425984263420105,0.08401785045862198,0.6506299376487732,0.45213159918785095,0.5387277007102966,0.01923484168946743,0.517900824546814,0.599270224571228,0.5405431985855103,0.07693059742450714,0.6330187320709229,0.45789074897766113,0.5247291922569275,0.02243161015212536,0.4605425000190735,0.5945700407028198,0.5266790390014648,0.07519776374101639,0.5731054544448853,0.5036174058914185,0.5118205547332764,0.029590006917715073,0.9996957182884216,0.5613993406295776,0.5103615522384644,-0.02992173656821251,0.9996255040168762,0.49831491708755493,0.7258064150810242,0.07731790840625763,0.9916183352470398,0.5567141771316528,0.7514157891273499,0.04154094308614731,0.991775393486023,0.47745126485824585,0.9340946674346924,0.12236426770687103,0.9855340123176575,0.5347830057144165,0.966015100479126,0.08102332055568695,0.9861445426940918,0.47546568512916565,0.9710096716880798,0.12569016218185425,0.9869500994682312,0.5284897089004517,0.99501633644104,0.08462133258581161,0.9855501651763916,0.481978178024292,0.9350878596305847,0.0930902510881424,0.8498069643974304,0.5564061403274536,0.9634039402008057,0.04078863561153412,0.8527523875236511
7,0.5458164811134338,0.11759181320667267,0.19594702124595642,0.9999032616615295,0.542256236076355,0.09972888976335526,0.16145950555801392,0.9998838305473328,0.538838803768158,0.09942951053380966,0.16149936616420746,0.9998937845230103,0.5352194905281067,0.09941514581441879,0.16152577102184296,0.9998716115951538,0.5510392189025879,0.10025953501462936,0.16165077686309814,0.9998941421508789,0.5538950562477112,0.10053081810474396,0.16165857017040253,0.9999028444290161,0.5568309426307678,0.10097919404506683,0.16158773005008698,0.9998802542686462,0.529108464717865,0.10895264148712158,0.040302824229002,0.9999005198478699,0.5603322386741638,0.11176362633705139,0.04173394292593002,0.9999009370803833,0.539981484413147,0.13170126080513,0.15964919328689575,0.9998682141304016,0.5496706366539001,0.1337103396654129,0.1599191129207611,0.9998828768730164,0.4881700873374939,0.21037112176418304,-0.0008165281033143401,0.9998023509979248,0.5942021608352661,0.21980412304401398,-0.028432687744498253,0.9998843669891357,0.4617968499660492,0.36653900146484375,-0.01144605502486229,0.97551429271698,0.6090288758277893,0.3769243359565735,-0.004391837865114212,0.9816935062408447,0.4517183303833008,0.5063024163246155,0.020559895783662796,0.673836350440979,0.6086403131484985,0.5059724450111389,0.07119614630937576,0.7673740386962891,0.4450685381889343,0.5450117588043213,0.018846962600946426,0.5491860508918762,0.6095899343490601,0.5425964593887329,0.07963580638170242,0.6469767689704895,0.4535301625728607,0.5396221876144409,0.017814796417951584,0.5301658511161804,0.6001921892166138,0.5405762195587158,0.0732644647359848,0.6289626955986023,0.45963793992996216,0.5255934596061707,0.021058913320302963,0.47113144397735596,0.5957381129264832,0.5267239212989807,0.07176940888166428,0.5703241229057312,0.5043346881866455,0.5119086503982544,0.03125424683094025,0.9996828436851501,0.5617634654045105,0.5105502009391785,-0.0315728597342968,0.9996177554130554,0.4985589385032654,0.7258276343345642,0.08108416944742203,0.9902702569961548,0.5568549633026123,0.7514132857322693,0.038630273193120956,0.9912272095680237,0.47772032022476196,0.9339616298675537,0.12761898338794708,0.984078586101532,0.5346845984458923,0.9663310647010803,0.07958192378282547,0.9853197336196899,0.47549787163734436,0.9707378149032593,0.13089033961296082,0.9856076836585999,0.5283712148666382,0.9953155517578125,0.08333441615104675,0.9845174551010132,0.48244038224220276,0.9351675510406494,0.0986376404762268,0.846386730670929,0.5567284226417542,0.9641566872596741,0.03978446498513222,0.8493643403053284
8,0.5464175939559937,0.11838646233081818,0.20033971965312958,0.9999022483825684,0.5428683161735535,0.10048642754554749,0.16570203006267548,0.9998831748962402,0.5394749045372009,0.10008242726325989,0.16574163734912872,0.9998931884765625,0.5358486771583557,0.09998182952404022,0.16576829552650452,0.9998716115951538,0.5517281293869019,0.1012871116399765,0.16589704155921936,0.9998926520347595,0.5546213388442993,0.1015988439321518,0.16590578854084015,0.999900758266449,0.5575793981552124,0.10203837603330612,0.1658356636762619,0.9998775124549866,0.5296282172203064,0.1095738485455513,0.04155070707201958,0.9998995661735535,0.5612021684646606,0.11270885169506073,0.04529059678316116,0.9999002814292908,0.5405858755111694,0.1321488320827484,0.16383081674575806,0.9998722076416016,0.5502370595932007,0.13428159058094025,0.1640925109386444,0.9998862147331238,0.48887819051742554,0.21107341349124908,0.0038003153167665005,0.9998076558113098,0.5946058034896851,0.21979624032974243,-0.02471645548939705,0.9998882412910461,0.4641907811164856,0.36703985929489136,-0.00826564896851778,0.9748321771621704,0.6099022626876831,0.3747473359107971,-0.002521985676139593,0.9814336895942688,0.455167293548584,0.5071055889129639,0.020311912521719933,0.6846364140510559,0.6104708313941956,0.5050490498542786,0.06825647503137589,0.7647503018379211,0.4485305845737457,0.5452094078063965,0.018159830942749977,0.5603705048561096,0.6115171909332275,0.5410979986190796,0.07564667612314224,0.6430872678756714,0.45614147186279297,0.539842426776886,0.016702551394701004,0.540893018245697,0.6012555360794067,0.5388050079345703,0.06927986443042755,0.6249322295188904,0.4621092677116394,0.5259891748428345,0.02059827372431755,0.4805516004562378,0.5969628095626831,0.5249380469322205,0.06870631873607635,0.5672445297241211,0.5044464468955994,0.5121836066246033,0.029716944321990013,0.999678909778595,0.5619629621505737,0.5107641220092773,-0.030036654323339462,0.9996154308319092,0.49967700242996216,0.7255259156227112,0.07648654282093048,0.9897655248641968,0.5576538443565369,0.7510780096054077,0.03938990458846092,0.9910321831703186,0.48068341612815857,0.9339367151260376,0.12141600996255875,0.983566403388977,0.5346905589103699,0.9664386510848999,0.0806761309504509,0.9850094318389893,0.4784142076969147,0.9707890152931213,0.12458492815494537,0.9851109981536865,0.5283724069595337,0.9953755140304565,0.08447840809822083,0.9839980006217957,0.48341888189315796,0.935901403427124,0.09143562614917755,0.8456258773803711,0.5563787221908569,0.9642776250839233,0.04110950604081154,0.8484315872192383
9,0.5473507642745972,0.1183994933962822,0.20062077045440674,0.9999017119407654,0.543779730796814,0.1004505455493927,0.16569699347019196,0.9998828768730164,0.5404103398323059,0.10004778951406479,0.16573208570480347,0.9998927116394043,0.536800742149353,0.0999540314078331,0.16575181484222412,0.9998720288276672,0.5526729226112366,0.10133801400661469,0.16606363654136658,0.9998918175697327,0.5555801391601562,0.1016758531332016,0.16607600450515747,0.9998990297317505,0.558526337146759,0.10214187949895859,0.16600632667541504,0.9998756051063538,0.5303736329078674,0.10963986814022064,0.042559392750263214,0.9998989105224609,0.5620264410972595,0.11296753585338593,0.04545149952173233,0.9998992085456848,0.54151451587677,0.13217011094093323,0.16400671005249023,0.9998759627342224,0.5511214733123779,0.13434262573719025,0.16441302001476288,0.9998894333839417,0.4900052547454834,0.21168869733810425,0.0013927251566201448,0.9998106956481934,0.5948376655578613,0.21998707950115204,-0.02188512310385704,0.9998900294303894,0.4656955599784851,0.36744579672813416,-0.008948744274675846,0.9748957753181458,0.6115319132804871,0.37358224391937256,6.336692604236305e-05,0.9815805554389954,0.459285169839859,0.5080012679100037,0.01996437832713127,0.6929066777229309,0.6122448444366455,0.5051371455192566,0.06487520039081573,0.7608165740966797,0.4542157053947449,0.5452462434768677,0.01823832467198372,0.5678916573524475,0.6133419871330261,0.5411128997802734,0.07242052257061005,0.6365436315536499,0.46067848801612854,0.539941132068634,0.016702981665730476,0.5480657815933228,0.6028069257736206,0.5388113856315613,0.06647898256778717,0.6180792450904846,0.46596652269363403,0.5262308120727539,0.02026042528450489,0.4870210886001587,0.5986703634262085,0.5249416828155518,0.06529056280851364,0.5612544417381287,0.5052593350410461,0.5123207569122314,0.028889980167150497,0.999665379524231,0.5620007514953613,0.5110526084899902,-0.02925943210721016,0.9996042847633362,0.5017011165618896,0.7250648736953735,0.0749175027012825,0.9887544512748718,0.5579599142074585,0.7508178949356079,0.04216455668210983,0.9905329346656799,0.48478031158447266,0.9325836300849915,0.12257115542888641,0.9821990132331848,0.5346631407737732,0.966432511806488,0.08160246163606644,0.9841362237930298,0.4828334450721741,0.9691256284713745,0.12622980773448944,0.9838747382164001,0.5283203125,0.994593620300293,0.08508066833019257,0.9831250309944153,0.48590850830078125,0.9373237490653992,0.09597723931074142,0.8416079878807068,0.5549196004867554,0.9654173254966736,0.04285523667931557,0.8440752625465393
